% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.741268473e+05 +1.741268473e+05 +1.742254673e+05 +1.742254673e+05 +1.0162e+00 +5.4355e-01 +3.4216e-01 +1.4024e+00 +7.7903e-01 +4.0795e-01 +4.9656e-01 +4.5585e-01 +1.0457e+00 +7.2870e-01 +4.2413e-01 +6.2647e-01 +6.3651e-01 +2.4253e-01 -8.3005e-02 +5.7340e-01 +5.1932e-01 +6.8926e-01 +1.2033e+00 +4.4604e-01
7 +1.568288944e+05 +1.568288944e+05 +1.569275144e+05 +1.569275144e+05 +8.2159e-01 +8.2719e-01 -3.9808e-01 +8.2768e-01 +3.8295e-01 -1.9622e-01 -6.8422e-02 +3.8681e-01 +3.5672e-01 +1.2542e+00 +3.1363e-01 +9.6458e-01 +9.4674e-01 +2.4593e-01 +1.1059e+00 +1.0192e-01 +2.0740e-01 +1.3212e+00 +7.2478e-01 +7.8278e-01
39 +9.440027209e+04 +9.440027209e+04 +9.449889209e+04 +9.449889209e+04 +4.6212e-01 +8.4593e-01 +1.6859e-01 +9.9895e-02 +2.5589e-01 +1.1564e-01 +1.4350e-01 -5.1507e-01 +2.5122e-02 +1.4056e+00 +3.3643e-01 +9.6125e-01 +7.0567e-01 +1.1250e-01 +2.0049e-01 -1.1229e+00 +4.9020e-01 +9.4251e-01 +6.9970e-01 +8.2222e-01
110 +5.913574351e+04 +5.913574351e+04 +5.923436351e+04 +5.923436351e+04 -2.3892e-01 +1.5993e+00 +5.5172e-01 -2.1073e-01 -2.1123e-01 -9.8451e-01 -3.3610e-01 -9.6930e-01 -1.1625e+00 +9.3473e-01 +1.7733e-01 +1.9956e-01 +8.6314e-01 -1.1270e+00 -6.4360e-02 -1.0079e+00 -1.4924e-01 +5.3899e-01 +5.8623e-01 -5.5899e-02
134 +3.711127802e+04 +3.711127802e+04 +3.720989802e+04 +3.720989802e+04 -1.7038e+00 +1.3630e+00 +9.7693e-01 -1.3384e+00 +8.2963e-02 -1.2270e+00 +2.0845e-01 -1.8276e+00 -1.1996e+00 +8.0881e-01 -2.1635e-01 -2.1178e-01 +1.3654e+00 -1.5835e+00 -2.9223e-01 -1.3517e+00 +5.1758e-01 +3.8601e-01 +3.8861e-01 -5.1070e-01
168 +2.355500241e+04 +2.355500241e+04 +2.365362241e+04 +2.365362241e+04 -2.5448e+00 +8.2343e-01 +8.4143e-01 -2.0029e+00 +5.7226e-01 -1.1384e+00 +1.1193e-01 -2.6920e+00 -1.1105e+00 +4.3649e-01 +6.1890e-01 -9.7192e-01 +2.0543e+00 -1.4670e+00 -6.1678e-01 -1.1746e+00 +4.2825e-01 +1.8446e-01 +1.1795e+00 -3.3535e-01
208 +1.160621956e+04 +1.160621956e+04 +1.170483956e+04 +1.170483956e+04 -1.4037e+00 -7.7355e-01 +5.1614e-01 -2.7929e+00 +4.7650e-01 -1.3839e+00 -3.9672e-01 -2.6756e+00 -2.3705e+00 +3.1615e-01 +1.6040e+00 -1.5178e+00 +1.9138e+00 -1.1534e+00 -1.9603e+00 -1.2171e+00 -8.1258e-01 +2.3193e-01 +2.3677e+00 -1.9825e+00
234 +9.585844533e+03 +9.585844533e+03 +9.684464533e+03 +9.684464533e+03 -1.7212e+00 -9.2230e-01 +1.1532e+00 -3.6177e+00 +1.0591e+00 -7.3269e-01 -8.6738e-02 -2.1808e+00 -1.0661e+00 -4.6575e-01 -5.1378e-01 -1.1512e+00 +1.2606e+00 -2.3091e+00 -1.4426e+00 -1.7810e+00 -3.4503e-01 -3.1160e-01 +1.7954e+00 -2.4761e+00
284 +4.533177741e+03 +4.533177741e+03 +4.631797741e+03 +4.631797741e+03 -2.1173e+00 -1.7913e+00 +1.8816e+00 -4.3632e+00 -1.0899e-01 -9.3748e-01 -9.7399e-01 -2.9210e+00 -1.3991e+00 -3.0275e-01 -4.4149e-01 -1.7942e+00 +7.2435e-01 -3.2839e+00 -3.1089e+00 -2.6723e+00 -2.2608e-01 +5.1235e-01 +6.3408e-01 -2.4543e+00
